SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
603-0051;0.00;0.00;0.00;0.00
603-0052;0.00;0.00;0.00;0.00
603-0053;0.00;0.00;0.00;0.00
603-0056;13,669.26;4,556.42;0.00;18,225.68
603-0057;702.40;254.00;0.00;956.40
610-0000;286,040.52;95,963.81;0.00;382,004.33
610-0001;11,291.82;3,763.94;0.00;15,055.76
610-0002;2,910.26;1,104.69;0.00;4,014.95
610-0003;3,485.37;1,161.79;0.00;4,647.16
610-0004;142,043.34;47,814.04;0.00;189,857.38
610-0005;126,309.73;42,119.35;0.00;168,429.08
612-0000;54,049.23;18,016.41;0.00;72,065.64
612-0001;54,049.23;18,016.41;0.00;72,065.64
701-0000;0.00;0.00;0.00;0.00
701-0001;0.00;0.00;0.00;0.00
702-0000;2,081.70;0.00;363.20;2,444.90
702-0001;0.00;0.00;0.00;0.00
702-0002;2,081.70;0.00;363.20;2,444.90
703-0000;1,584.58;1.39;0.00;1,585.97
703-0001;0.00;0.00;0.00;0.00
703-0001;1,584.58;1.39;0.00;1,585.97
704-0000;1,232.24;0.00;2.81;1,235.05
704-0001;0.00;0.00;0.00;0.00
704-0002;1,232.24;0.00;2.81;1,235.05
